n rundy root
2900 76 866
2900 87 1121
2900 93 598
2900 95 1154
2900 73 1085
2900 79 2350
3000 68 2627
3000 53 1058
3000 51 1137
3000 64 1846
3000 59 1428
3000 84 2042
3000 76 1175
3000 49 202
3000 55 1495
3000 78 621
3000 60 2087
3000 56 674
3000 48 2801
3000 65 1974
3000 73 1854
3000 66 2741
3100 87 1700
3100 104 611
3100 100 2603
3100 98 358
3100 107 1373
3100 87 3045
3100 86 1030
3100 98 406
3100 72 2532
3100 103 2888
3100 80 1941
3100 82 1868
3100 100 2388
3100 81 2784
3100 74 779
3100 100 2981
3200 64 1747
3200 74 358
3200 85 3164
3200 90 2531
3200 82 1486
3200 101 1644
3200 74 3008
3200 76 2607
3200 80 1588
3200 97 213
3200 74 885
3200 74 2627
3200 86 922
3200 93 1466
3200 77 2664
3200 77 1554
3300 83 2809
3300 67 2768
3300 68 2783
3300 82 2008
3300 78 1477
3300 82 1331
3300 73 1805
3300 73 2788
3300 65 2485
3300 74 2691
3300 77 192
3300 62 2150
3300 51 219
3300 75 3279
3300 69 2847
3300 66 2455
3400 75 600
3400 88 56
3400 94 1318
3400 82 1496
3400 77 2481
3400 75 1215
3400 82 609
3400 83 1151
3400 84 824
3400 81 2037
3400 83 961
3400 89 1275
3400 102 2231
3400 86 453
3400 82 3323
3400 63 2360
3500 65 1287
3500 66 1602
3500 72 3216
3500 70 2145
3500 80 67
3500 73 618
3500 60 637
3500 55 2645
3500 57 2967
3500 73 1629
3500 73 2323
3500 68 1298
3500 60 1376
3500 69 1203
3500 76 2310
3500 68 632
3600 79 3471
3600 76 195
3600 84 1492
3600 71 1694
3600 77 1113
3600 73 1501
3600 70 2148
3600 78 362
3600 60 1253
3600 78 565
3600 81 1740
3600 73 2441
3600 86 16
3600 83 593
3600 69 2987
3600 89 171
3700 78 293
3700 71 975
3700 78 484
3700 104 3655
3700 82 2289
3700 72 2259
3700 97 3149
3700 74 725
3700 71 1228
3700 102 2756
3700 74 1916
3700 90 496
3700 111 3031
3700 89 12
3700 95 1731
3700 102 3067
3800 119 3417
3800 85 1895
3800 101 1318
3800 119 64
3800 108 840
3800 119 3695
3800 81 3655
3800 84 3082
3800 115 1122
3800 123 1622
3800 94 446
3800 92 3535
3800 123 1416
3800 100 687
3800 110 3613
3800 122 2170
3900 81 230
3900 88 1014
3900 69 3826
3900 89 1785
3900 67 458
3900 80 1394
3900 80 2290
3900 79 2604
3900 79 1205
3900 80 1654
3900 83 1361
3900 76 650
3900 90 2803
3900 73 3065
3900 88 2628
3900 55 3445
4000 97 2952
4000 102 1079
4000 112 2539
4000 101 2332
4000 94 595
4000 91 264
4000 87 1065
4000 86 943
4000 92 2139
4000 97 1195
4000 97 3732
4000 77 1429
4000 81 3800
4000 76 414
4000 100 2577
4000 88 3670
4100 98 2731
4100 97 3082
4100 91 374
4100 92 3238
4100 70 621
4100 113 1469
4100 86 2318
4100 97 3278
4100 102 4026
4100 86 1317
4100 87 3115
4100 92 1724
4100 82 941
4100 89 84
4100 103 1813
4100 88 689
4200 69 1197
4200 63 1813
4200 45 2776
4200 58 2748
4200 50 1692
4200 52 3142
4200 57 149
4200 64 3895
4200 57 3488
4200 59 1418
4200 43 1024
4200 56 3182
4200 58 718
4200 60 2334
4200 68 1553
4200 54 1684
4300 110 3910
4300 123 1588
4300 107 3141
4300 115 3066
4300 81 3822
4300 118 310
4300 102 3469
4300 104 1865
4300 118 1807
4300 106 2420
4300 111 1418
4300 112 3779
4300 90 1632
4300 86 1059
4300 91 1302
4300 104 3217
4400 94 2430
4400 80 584
4400 91 2222
4400 83 3795
4400 70 1619
4400 102 2688
4400 79 495
4400 91 1748
4400 74 1661
4400 76 4145
4400 79 816
4400 83 261
4400 78 4324
4400 104 3894
4400 76 1599
4400 94 1509
4500 96 614
4500 127 4401
4500 82 2989
4500 78 2781
4500 87 3062
4500 95 3161
4500 85 3407
4500 103 141
4500 81 2606
4500 108 1059
4500 85 2026
4500 97 1482
4500 91 2133
4500 100 3840
4500 119 489
4500 91 3414
4600 88 79
4600 96 189
4600 78 2716
4600 77 2759
4600 100 129
4600 65 1246
4600 87 545
4600 97 3269
4600 98 2384
4600 94 1866
4600 75 3275
4600 95 2170
4600 65 1538
4600 82 4246
4600 81 191
4600 79 4117
4700 81 3813
4700 83 1324
4700 119 987
4700 79 109
4700 84 1434
4700 121 3331
4700 110 1714
4700 116 1607
4700 94 1095
4700 93 590
4700 93 2384
4700 90 962
4700 110 3176
4700 121 4605
4700 86 4640
4700 86 2884
4800 87 162
4800 96 2857
4800 110 400
4800 103 3014
4800 92 1022
4800 112 348
4800 103 4531
4800 107 925
4800 105 451
4800 98 4110
4800 105 3787
4800 114 2825
4800 106 3659
4800 116 3856
4800 93 4176
4800 102 3372
4900 80 4027
4900 65 4007
4900 84 2119
4900 84 2430
4900 53 1336
4900 98 4740
4900 69 3459
4900 72 4595
4900 70 2186
4900 78 2861
4900 91 2590
4900 92 3997
4900 65 2363
4900 88 3114
4900 79 901
4900 73 4339
5000 72 307
5000 90 4710
5000 89 3147
5000 88 4533
5000 80 1792
5000 84 2702
5000 100 2216
5000 89 4002
5000 82 3709
5000 84 3369
5000 93 442
5000 80 4435
5000 85 2189
5000 73 2738
5000 78 2273
5000 65 4165
5100 81 3597
5100 105 1594
5100 81 1775
5100 95 2202
5100 67 695
5100 92 4490
5100 112 3084
5100 85 290
5100 99 2274
5100 90 476
5100 102 3397
5100 80 2538
5100 99 1840
5100 76 4109
5100 92 177
5100 76 4369
5200 100 3899
5200 100 1069
5200 141 4717
5200 127 2041
5200 91 997
5200 138 4754
5200 103 1542
5200 108 2118
5200 139 628
5200 116 1972
5200 134 3774
5200 101 144
5200 105 3214
5200 125 4488
5200 91 3657
5200 95 3322
5300 77 3606
5300 73 506
5300 60 1001
5300 67 4631
5300 69 2510
5300 75 4072
5300 92 370
5300 87 1097
5300 91 2569
5300 85 2594
5300 78 336
5300 70 455
5300 75 232
5300 80 987
5300 72 3193
5300 60 744
5400 71 3841
5400 79 1735
5400 89 1485
5400 99 123
5400 104 3184
5400 102 2605
5400 88 3551
5400 112 2837
5400 91 266
5400 81 4622
5400 103 654
5400 98 2271
5400 91 2615
5400 66 3177
5400 109 5180
5400 94 4770
5500 84 4488
5500 95 3212
5500 98 4183
5500 99 2054
5500 90 5282
5500 101 1623
5500 106 3679
5500 95 1263
5500 94 665
5500 121 5346
5500 90 5430
5500 116 1608
5500 108 175
5500 87 2854
5500 76 4986
5500 86 2797
5600 106 425
5600 87 181
5600 114 3540
5600 97 5430
5600 73 4394
5600 96 2156
5600 82 2761
5600 94 1280
5600 114 1956
5600 84 3630
5600 114 3228
5600 101 938
5600 92 4036
5600 98 4400
5600 102 5118
5600 101 3467
5700 132 5109
5700 98 2306
5700 121 5371
5700 87 3635
5700 90 3716
5700 89 3141
5700 99 3694
5700 96 4331
5700 111 4300
5700 85 3417
5700 135 1233
5700 104 1872
