n rundy root
2900 92 1910
2900 91 1432
2900 94 2317
2900 77 2626
2900 116 1244
2900 66 2034
2900 84 1617
2900 79 1115
3000 92 352
3000 76 816
3000 95 2770
3000 71 1981
3000 65 2142
3000 102 1023
3000 67 731
3000 87 1646
3000 89 1979
3000 95 2654
3000 64 732
3000 63 1792
3000 84 1666
3000 59 2333
3000 70 2307
3000 82 782
3100 82 551
3100 73 3059
3100 87 299
3100 76 1683
3100 101 261
3100 73 181
3100 94 633
3100 91 2462
3100 98 1773
3100 92 2234
3100 80 2894
3100 79 2584
3100 98 262
3100 101 2221
3100 100 1601
3100 90 2247
3200 91 3154
3200 85 727
3200 76 3042
3200 93 574
3200 115 198
3200 80 1988
3200 65 657
3200 99 1469
3200 117 2749
3200 86 1341
3200 99 1196
3200 116 947
3200 89 2804
3200 83 232
3200 100 630
3200 84 2783
3300 103 1153
3300 75 1466
3300 75 2814
3300 100 254
3300 101 305
3300 113 670
3300 99 2697
3300 95 465
3300 95 2024
3300 90 1752
3300 90 978
3300 95 2001
3300 70 2613
3300 87 2190
3300 116 2288
3300 87 1846
3400 90 2487
3400 81 1826
3400 91 3037
3400 106 323
3400 108 1538
3400 76 1313
3400 83 239
3400 93 1097
3400 92 1443
3400 82 640
3400 95 1232
3400 81 3309
3400 83 2895
3400 81 922
3400 111 1850
3400 76 418
3500 106 220
3500 71 12
3500 65 2600
3500 63 3100
3500 82 376
3500 86 824
3500 88 411
3500 68 1618
3500 84 2929
3500 80 3033
3500 61 3217
3500 73 3156
3500 77 2214
3500 74 317
3500 59 3257
3500 97 622
3600 125 1919
3600 87 3310
3600 110 2008
3600 91 1411
3600 89 1045
3600 74 145
3600 99 1199
3600 75 2799
3600 96 2390
3600 95 2649
3600 81 369
3600 99 1890
3600 93 1112
3600 113 3406
3600 97 1604
3600 102 2402
3700 111 2812
3700 105 1637
3700 80 3533
3700 93 2585
3700 110 3656
3700 113 1286
3700 103 143
3700 116 3057
3700 111 601
3700 107 832
3700 106 347
3700 129 44
3700 112 3207
3700 110 1172
3700 75 3468
3700 102 1792
3800 107 3496
3800 96 3208
3800 102 2690
3800 79 1768
3800 119 792
3800 119 1310
3800 103 2082
3800 118 343
3800 90 2539
3800 128 565
3800 93 1273
3800 79 1991
3800 106 390
3800 74 3314
3800 85 1029
3800 104 2577
3900 67 195
3900 87 1357
3900 82 399
3900 89 2442
3900 94 3181
3900 96 1071
3900 84 3243
3900 100 2015
3900 89 1872
3900 70 3298
3900 89 875
3900 85 173
3900 78 2418
3900 94 2474
3900 95 2938
3900 75 2563
4000 82 2785
4000 83 3098
4000 87 867
4000 87 1043
4000 82 2712
4000 76 803
4000 85 2020
4000 81 1631
4000 101 1150
4000 94 3574
4000 90 609
4000 94 431
4000 103 1552
4000 107 3839
4000 68 2190
4000 111 3037
4100 84 866
4100 69 484
4100 95 2309
4100 117 1970
4100 100 2111
4100 85 42
4100 83 2621
4100 82 3263
4100 69 338
4100 84 1178
4100 99 3591
4100 89 1373
4100 77 1005
4100 81 530
4100 114 2350
4100 90 1698
4200 80 2135
4200 78 355
4200 73 2858
4200 84 3180
4200 93 2021
4200 92 3807
4200 100 2088
4200 75 48
4200 99 2757
4200 83 1268
4200 94 1921
4200 96 3841
4200 102 1137
4200 97 2350
4200 92 1388
4200 70 3820
4300 72 1570
4300 63 3738
4300 74 3636
4300 86 3306
4300 95 3113
4300 73 3755
4300 76 2176
4300 64 4202
4300 92 2126
4300 75 91
4300 105 4239
4300 69 2430
4300 81 761
4300 94 2398
4300 86 3018
4300 85 397
4400 74 3106
4400 74 908
4400 74 3950
4400 76 2607
4400 84 1602
4400 74 2424
4400 73 3143
4400 91 216
4400 95 2154
4400 89 184
4400 74 4212
4400 76 420
4400 98 2182
4400 97 1162
4400 85 3716
4400 94 2673
4500 97 3614
4500 105 3952
4500 84 3867
4500 98 324
4500 97 3900
4500 86 3846
4500 100 732
4500 92 2036
4500 90 2102
4500 103 1247
4500 95 4281
4500 96 2272
4500 119 1645
4500 96 1795
4500 114 2586
4500 105 2595
4600 67 1667
4600 71 3654
4600 101 3679
4600 78 4277
4600 75 486
4600 98 3404
4600 74 3382
4600 87 2274
4600 79 2238
4600 74 4334
4600 71 813
4600 79 2238
4600 75 1960
4600 80 1570
4600 95 993
4600 68 3028
4700 86 1567
4700 101 4214
4700 96 769
4700 138 2652
4700 88 2158
4700 84 10
4700 114 738
4700 108 2067
4700 89 2645
4700 94 3060
4700 83 3469
4700 83 224
4700 86 1186
4700 96 1751
4700 87 1342
4700 109 4580
4800 100 4198
4800 98 759
4800 97 2894
4800 116 401
4800 124 767
4800 105 1962
4800 101 1955
4800 109 4777
4800 87 3875
4800 81 1336
4800 118 2122
4800 92 3677
4800 86 2800
4800 97 801
4800 89 902
4800 120 195
4900 100 1728
4900 88 1746
4900 72 3354
4900 95 3860
4900 96 312
4900 97 1615
4900 109 4846
4900 86 3610
4900 93 3238
4900 87 4894
4900 86 679
4900 99 2393
4900 80 728
4900 113 443
4900 103 1215
4900 78 2072
5000 88 670
5000 86 4967
5000 83 401
5000 106 3253
5000 94 3800
5000 89 465
5000 95 1370
5000 103 4779
5000 90 3597
5000 109 81
5000 84 2139
5000 89 2748
5000 105 4909
5000 103 2060
5000 88 3013
5000 98 1652
5100 94 1849
5100 109 4091
5100 91 2625
5100 77 2237
5100 97 4284
5100 78 3672
5100 87 806
5100 107 1664
5100 70 1189
5100 92 1244
5100 97 4051
5100 81 4238
5100 87 2897
5100 83 4110
5100 103 1768
5100 98 3664
5200 111 822
5200 104 3720
5200 85 2360
5200 83 414
5200 78 762
5200 83 318
5200 94 2099
5200 89 548
5200 84 2253
5200 72 1301
5200 106 3668
5200 114 698
5200 81 1129
5200 91 1910
5200 86 3453
5200 75 4923
5300 86 4257
5300 105 1673
5300 92 4941
5300 98 1868
5300 95 2279
5300 95 3111
5300 85 5015
5300 69 3340
5300 79 2223
5300 108 1700
5300 88 3390
5300 84 1436
5300 98 4688
5300 94 557
5300 86 3075
5300 106 3877
5400 97 4218
5400 80 2023
5400 89 3920
5400 78 2237
5400 78 4587
5400 76 3377
