operation,index,comparisons
insert_H2,159,10
insert_H1,160,0
insert_H2,160,0
insert_H1,161,2
insert_H2,161,2
insert_H1,162,0
insert_H2,162,0
insert_H1,163,4
insert_H2,163,4
insert_H1,164,0
insert_H2,164,0
insert_H1,165,2
insert_H2,165,2
insert_H1,166,0
insert_H2,166,0
insert_H1,167,6
insert_H2,167,6
insert_H1,168,0
insert_H2,168,0
insert_H1,169,2
insert_H2,169,2
insert_H1,170,0
insert_H2,170,0
insert_H1,171,4
insert_H2,171,4
insert_H1,172,0
insert_H2,172,0
insert_H1,173,2
insert_H2,173,2
insert_H1,174,0
insert_H2,174,0
insert_H1,175,8
insert_H2,175,8
insert_H1,176,0
insert_H2,176,0
insert_H1,177,2
insert_H2,177,2
insert_H1,178,0
insert_H2,178,0
insert_H1,179,4
insert_H2,179,4
insert_H1,180,0
insert_H2,180,0
insert_H1,181,2
insert_H2,181,2
insert_H1,182,0
insert_H2,182,0
insert_H1,183,6
insert_H2,183,6
insert_H1,184,0
insert_H2,184,0
insert_H1,185,2
insert_H2,185,2
insert_H1,186,0
insert_H2,186,0
insert_H1,187,4
insert_H2,187,4
insert_H1,188,0
insert_H2,188,0
insert_H1,189,2
insert_H2,189,2
insert_H1,190,0
insert_H2,190,0
insert_H1,191,12
insert_H2,191,12
insert_H1,192,0
insert_H2,192,0
insert_H1,193,2
insert_H2,193,2
insert_H1,194,0
insert_H2,194,0
insert_H1,195,4
insert_H2,195,4
insert_H1,196,0
insert_H2,196,0
insert_H1,197,2
insert_H2,197,2
insert_H1,198,0
insert_H2,198,0
insert_H1,199,6
insert_H2,199,6
insert_H1,200,0
insert_H2,200,0
insert_H1,201,2
insert_H2,201,2
insert_H1,202,0
insert_H2,202,0
insert_H1,203,4
insert_H2,203,4
insert_H1,204,0
insert_H2,204,0
insert_H1,205,2
insert_H2,205,2
insert_H1,206,0
insert_H2,206,0
insert_H1,207,8
insert_H2,207,8
insert_H1,208,0
insert_H2,208,0
insert_H1,209,2
insert_H2,209,2
insert_H1,210,0
insert_H2,210,0
insert_H1,211,4
insert_H2,211,4
insert_H1,212,0
insert_H2,212,0
insert_H1,213,2
insert_H2,213,2
insert_H1,214,0
insert_H2,214,0
insert_H1,215,6
insert_H2,215,6
insert_H1,216,0
insert_H2,216,0
insert_H1,217,2
insert_H2,217,2
insert_H1,218,0
insert_H2,218,0
insert_H1,219,4
insert_H2,219,4
insert_H1,220,0
insert_H2,220,0
insert_H1,221,2
insert_H2,221,2
insert_H1,222,0
insert_H2,222,0
insert_H1,223,10
insert_H2,223,10
insert_H1,224,0
insert_H2,224,0
insert_H1,225,2
insert_H2,225,2
insert_H1,226,0
insert_H2,226,0
insert_H1,227,4
insert_H2,227,4
insert_H1,228,0
insert_H2,228,0
insert_H1,229,2
insert_H2,229,2
insert_H1,230,0
insert_H2,230,0
insert_H1,231,6
insert_H2,231,6
insert_H1,232,0
insert_H2,232,0
insert_H1,233,2
insert_H2,233,2
insert_H1,234,0
insert_H2,234,0
insert_H1,235,4
insert_H2,235,4
insert_H1,236,0
insert_H2,236,0
insert_H1,237,2
insert_H2,237,2
insert_H1,238,0
insert_H2,238,0
insert_H1,239,8
insert_H2,239,8
insert_H1,240,0
insert_H2,240,0
insert_H1,241,2
insert_H2,241,2
insert_H1,242,0
insert_H2,242,0
insert_H1,243,4
insert_H2,243,4
insert_H1,244,0
insert_H2,244,0
insert_H1,245,2
insert_H2,245,2
insert_H1,246,0
insert_H2,246,0
insert_H1,247,6
insert_H2,247,6
insert_H1,248,0
insert_H2,248,0
insert_H1,249,2
insert_H2,249,2
insert_H1,250,0
insert_H2,250,0
insert_H1,251,4
insert_H2,251,4
insert_H1,252,0
insert_H2,252,0
insert_H1,253,2
insert_H2,253,2
insert_H1,254,0
insert_H2,254,0
insert_H1,255,16
insert_H2,255,16
insert_H1,256,0
insert_H2,256,0
insert_H1,257,2
insert_H2,257,2
insert_H1,258,0
insert_H2,258,0
insert_H1,259,4
insert_H2,259,4
insert_H1,260,0
insert_H2,260,0
insert_H1,261,2
insert_H2,261,2
insert_H1,262,0
insert_H2,262,0
insert_H1,263,6
insert_H2,263,6
insert_H1,264,0
insert_H2,264,0
insert_H1,265,2
insert_H2,265,2
insert_H1,266,0
insert_H2,266,0
insert_H1,267,4
insert_H2,267,4
insert_H1,268,0
insert_H2,268,0
insert_H1,269,2
insert_H2,269,2
insert_H1,270,0
insert_H2,270,0
insert_H1,271,8
insert_H2,271,8
insert_H1,272,0
insert_H2,272,0
insert_H1,273,2
insert_H2,273,2
insert_H1,274,0
insert_H2,274,0
insert_H1,275,4
insert_H2,275,4
insert_H1,276,0
insert_H2,276,0
insert_H1,277,2
insert_H2,277,2
insert_H1,278,0
insert_H2,278,0
insert_H1,279,6
insert_H2,279,6
insert_H1,280,0
insert_H2,280,0
insert_H1,281,2
insert_H2,281,2
insert_H1,282,0
insert_H2,282,0
insert_H1,283,4
insert_H2,283,4
insert_H1,284,0
insert_H2,284,0
insert_H1,285,2
insert_H2,285,2
insert_H1,286,0
insert_H2,286,0
insert_H1,287,10
insert_H2,287,10
insert_H1,288,0
insert_H2,288,0
insert_H1,289,2
insert_H2,289,2
insert_H1,290,0
insert_H2,290,0
insert_H1,291,4
insert_H2,291,4
insert_H1,292,0
insert_H2,292,0
insert_H1,293,2
insert_H2,293,2
insert_H1,294,0
insert_H2,294,0
insert_H1,295,6
insert_H2,295,6
insert_H1,296,0
insert_H2,296,0
insert_H1,297,2
insert_H2,297,2
insert_H1,298,0
insert_H2,298,0
insert_H1,299,4
insert_H2,299,4
insert_H1,300,0
insert_H2,300,0
insert_H1,301,2
insert_H2,301,2
insert_H1,302,0
insert_H2,302,0
insert_H1,303,8
insert_H2,303,8
insert_H1,304,0
insert_H2,304,0
insert_H1,305,2
insert_H2,305,2
insert_H1,306,0
insert_H2,306,0
insert_H1,307,4
insert_H2,307,4
insert_H1,308,0
insert_H2,308,0
insert_H1,309,2
insert_H2,309,2
insert_H1,310,0
insert_H2,310,0
insert_H1,311,6
insert_H2,311,6
insert_H1,312,0
insert_H2,312,0
insert_H1,313,2
insert_H2,313,2
insert_H1,314,0
insert_H2,314,0
insert_H1,315,4
insert_H2,315,4
insert_H1,316,0
insert_H2,316,0
insert_H1,317,2
insert_H2,317,2
insert_H1,318,0
insert_H2,318,0
insert_H1,319,12
insert_H2,319,12
insert_H1,320,0
insert_H2,320,0
insert_H1,321,2
insert_H2,321,2
insert_H1,322,0
insert_H2,322,0
insert_H1,323,4
insert_H2,323,4
insert_H1,324,0
insert_H2,324,0
insert_H1,325,2
insert_H2,325,2
insert_H1,326,0
insert_H2,326,0
insert_H1,327,6
insert_H2,327,6
insert_H1,328,0
insert_H2,328,0
insert_H1,329,2
insert_H2,329,2
insert_H1,330,0
insert_H2,330,0
insert_H1,331,4
insert_H2,331,4
insert_H1,332,0
insert_H2,332,0
insert_H1,333,2
insert_H2,333,2
insert_H1,334,0
insert_H2,334,0
insert_H1,335,8
insert_H2,335,8
insert_H1,336,0
insert_H2,336,0
insert_H1,337,2
insert_H2,337,2
insert_H1,338,0
insert_H2,338,0
insert_H1,339,4
insert_H2,339,4
insert_H1,340,0
insert_H2,340,0
insert_H1,341,2
insert_H2,341,2
insert_H1,342,0
insert_H2,342,0
insert_H1,343,6
insert_H2,343,6
insert_H1,344,0
insert_H2,344,0
insert_H1,345,2
insert_H2,345,2
insert_H1,346,0
insert_H2,346,0
insert_H1,347,4
insert_H2,347,4
insert_H1,348,0
insert_H2,348,0
insert_H1,349,2
insert_H2,349,2
insert_H1,350,0
insert_H2,350,0
insert_H1,351,10
insert_H2,351,10
insert_H1,352,0
insert_H2,352,0
insert_H1,353,2
insert_H2,353,2
insert_H1,354,0
insert_H2,354,0
insert_H1,355,4
insert_H2,355,4
insert_H1,356,0
insert_H2,356,0
insert_H1,357,2
insert_H2,357,2
insert_H1,358,0
insert_H2,358,0
insert_H1,359,6
insert_H2,359,6
insert_H1,360,0
insert_H2,360,0
insert_H1,361,2
insert_H2,361,2
insert_H1,362,0
insert_H2,362,0
insert_H1,363,4
insert_H2,363,4
insert_H1,364,0
insert_H2,364,0
insert_H1,365,2
insert_H2,365,2
insert_H1,366,0
insert_H2,366,0
insert_H1,367,8
insert_H2,367,8
insert_H1,368,0
insert_H2,368,0
insert_H1,369,2
insert_H2,369,2
insert_H1,370,0
insert_H2,370,0
insert_H1,371,4
insert_H2,371,4
insert_H1,372,0
insert_H2,372,0
insert_H1,373,2
insert_H2,373,2
insert_H1,374,0
insert_H2,374,0
insert_H1,375,6
insert_H2,375,6
insert_H1,376,0
insert_H2,376,0
insert_H1,377,2
insert_H2,377,2
insert_H1,378,0
insert_H2,378,0
insert_H1,379,4
insert_H2,379,4
insert_H1,380,0
insert_H2,380,0
insert_H1,381,2
insert_H2,381,2
insert_H1,382,0
insert_H2,382,0
insert_H1,383,14
insert_H2,383,14
insert_H1,384,0
insert_H2,384,0
insert_H1,385,2
insert_H2,385,2
insert_H1,386,0
insert_H2,386,0
insert_H1,387,4
insert_H2,387,4
insert_H1,388,0
insert_H2,388,0
insert_H1,389,2
insert_H2,389,2
insert_H1,390,0
insert_H2,390,0
insert_H1,391,6
insert_H2,391,6
insert_H1,392,0
insert_H2,392,0
insert_H1,393,2
insert_H2,393,2
insert_H1,394,0
insert_H2,394,0
insert_H1,395,4
insert_H2,395,4
insert_H1,396,0
insert_H2,396,0
insert_H1,397,2
insert_H2,397,2
insert_H1,398,0
insert_H2,398,0
insert_H1,399,8
insert_H2,399,8
insert_H1,400,0
insert_H2,400,0
insert_H1,401,2
