n,rep_id,kruskal_ms,prim_ms
1800,4,1092.52,172.466
1800,3,1124.24,179.881
1800,10,1094.25,178.245
1800,11,1177.7,174.44
1800,9,1120.41,169.659
1800,6,1204.45,183.283
1800,0,1218.31,188.243
1800,5,1222.66,182.118
1800,2,1173.84,123.002
1800,1,1251.64,119.005
1800,8,1253.56,120.135
1800,7,1244.34,126.289
1900,9,1061.68,188.214
1900,4,1084.17,184.228
1900,10,1089.08,184.059
1900,3,1096.25,183.164
1900,5,1097.71,186.922
1900,6,1079.82,190.628
1900,2,1135.77,188.613
1900,0,1126.81,197.239
1900,8,1343.64,140.677
1900,11,1400.93,132.205
1900,1,1373.45,133.607
1900,7,1401.05,146.196
2000,5,1212.85,199.02
2000,6,1203.95,206.107
2000,9,1362.5,230.179
2000,0,1221.92,210.571
2000,3,1387.38,229.727
2000,10,1389.26,200.87
2000,1,1545.39,201.901
2000,2,1578.47,189.479
2000,11,1417.42,188.51
2000,7,1501.5,193.905
2000,8,1531.26,185.98
2000,4,1574.38,162.023
2100,4,1299.38,222.468
2100,11,1347.41,236.739
2100,3,1349.09,225.624
2100,9,1327.64,230.954
2100,0,1368.72,240.441
2100,10,1311.66,233.609
2100,1,1368.91,237.774
2100,6,1387.69,233.72
2100,5,1478.61,210.656
2100,2,1518.65,281.387
2100,7,1540.22,241.522
2100,8,1474.22,338.557
2200,4,1624.84,290.006
2200,8,1631.21,298.383
2200,9,1632.95,310.219
2200,3,1858.51,279.089
2200,6,1801.87,340.339
2200,11,1850.09,283.079
2200,0,1820.37,272.326
2200,10,1895.12,254.122
2200,7,1987.46,275.748
2200,1,2019.99,230.699
2200,5,2072.26,328.751
2200,2,2029.85,608.241
2300,7,1642.52,267.199
2300,8,1670.83,277
2300,4,1680.88,264.071
2300,10,1745.59,318.99
2300,5,1781.07,265.047
2300,11,1785.41,268.667
2300,6,1811.54,272.465
2300,0,1812.27,277.421
2300,9,1921.34,268.804
2300,2,2021.58,235.902
2300,3,2092.11,607.327
2300,1,2165.95,571.573
2400,2,1777.17,333.278
2400,3,1781.85,347.844
2400,4,1794.38,321.138
2400,10,1779.54,325.547
2400,7,1835.05,338.142
2400,6,1989.58,286.863
2400,9,1932.38,277.595
2400,5,2101.86,269.103
2400,11,1985.22,308.811
2400,8,1950.06,257.965
2400,1,2012.56,276.607
2400,0,2000.82,320.351
2500,4,1985.47,317.308
2500,6,2013.69,335.781
2500,9,2017.97,341.438
2500,0,2013.9,323.891
2500,10,2089.17,381.63
2500,3,2115.34,365.892
2500,11,2138.65,363.311
2500,5,2112.08,350.476
2500,8,2407.33,274.486
2500,1,2437.61,293.175
2500,2,2358.5,318.403
2500,7,2395.46,418.897
2600,4,2256.99,435.791
2600,8,2297.27,418.671
2600,2,2289.36,434.606
2600,0,2291.69,438.937
2600,11,2281.65,473.747
2600,9,2342.07,466.276
2600,1,2328.87,478.226
2600,6,2466.24,436.435
2600,7,2626.57,344.042
2600,5,2610.87,357.318
2600,10,2673.01,322.986
2600,3,2679.37,322.968
2700,10,2708.28,489.061
2700,0,2755,511.741
2700,11,2759.6,512.283
2700,9,2824.82,462.827
2700,5,2766.37,492.385
2700,6,2742.05,497.967
2700,4,2851.96,466.397
2700,8,2850.95,499.563
2700,1,2914.14,416.81
2700,7,2960.11,394.519
2700,2,2998.21,397.844
2700,3,3149.18,370.51
2800,4,3079.42,451.1
2800,10,3112.96,449.036
2800,9,3038.34,508.925
2800,11,3098.44,434.494
2800,0,3131.15,466.997
2800,6,3107.52,492.164
2800,5,3064.49,511.081
2800,7,3095.19,506.326
2800,2,3097.78,456.484
2800,1,3092.86,530.962
2800,8,3154.12,445.976
2800,3,3307.39,388.305
2900,9,3032.4,488.118
2900,3,3112.77,457.531
2900,4,3122.49,464.252
2900,10,3127.99,470.352
2900,6,3243.85,475.718
2900,5,3284.08,480.875
2900,7,3293.55,472.349
2900,11,3323.77,459.384
2900,0,3346.01,507.291
2900,1,3315.24,518.597
2900,2,3252.06,563.105
2900,8,3271.1,616.144
3000,2,3309.39,507.94
3000,4,3344.43,474.603
3000,3,3335.98,500.297
3000,8,3324.94,482.233
3000,7,3353.83,488.546
3000,6,3379.22,496.078
3000,5,3399.02,512.223
3000,0,3404.15,490.428
3000,11,3377.68,483.67
3000,9,3355.94,481.712
3000,10,3449.14,473.165
3000,1,3380.94,563.567
3100,6,3584.88,567.371
3100,7,3604.95,627.722
3100,5,3564.44,602.785
3100,4,3645.33,573.389
3100,11,3651.23,637.842
3100,9,3698.58,599.851
3100,10,3779.61,600.698
3100,2,3678.65,968.977
3100,1,3678.92,958.677
3100,0,3852.07,676.617
3100,3,3922.35,688.457
3100,8,4176.79,547.058
3200,4,3920.74,545.157
3200,9,3940.87,548.834
3200,10,3955.76,543.958
3200,3,3930.8,554.723
3200,0,4195.34,548.978
3200,11,4242.57,550.943
3200,5,4355.83,486.444
3200,1,4412.35,495.679
3200,8,4701.15,423.818
3200,6,4552.27,699.066
3200,7,4645.99,723.857
3200,2,4633.57,758.756
3300,4,4064.94,573.755
3300,10,4097.64,567.829
3300,6,4082.54,600.088
3300,9,4107.65,572.217
3300,11,4177.92,594.336
3300,5,4182.19,601.408
3300,1,4195.78,572.541
3300,0,4212.13,593.47
3300,2,4330.44,547.982
3300,8,4316.85,565.407
3300,7,4325.22,551.138
3300,3,4476.92,506.13
3400,1,4242.07,667.802
3400,9,4437.93,629.706
3400,10,4405.64,614.483
3400,4,4416.83,612.986
3400,3,4437.87,636.686
3400,5,4484.51,674.151
3400,0,4547.15,669.351
3400,6,4566.29,715.927
3400,8,4689.29,651.48
3400,2,4656.35,726.266
3400,7,4720.72,720.433
3400,11,4947.13,624.649
3500,0,4756.19,723.933
3500,5,4671.12,705.123
3500,6,4674.39,721.499
3500,3,4747.46,836.44
3500,8,4865.65,726.733
3500,10,4816.06,825.986
3500,11,4663.76,841.178
3500,4,4774.88,846.668
3500,2,4825.71,776.541
3500,9,5021.8,708.646
3500,7,4975.78,700.781
3500,1,5092.49,784.646
3600,0,4915.71,721.673
3600,11,5003.43,697.548
3600,6,5025.34,677.582
3600,5,5040.14,704.118
3600,3,5186.59,693.155
3600,2,5171.88,732.927
3600,10,4965.14,692.865
3600,9,4995.14,715.202
3600,8,5182.4,870.084
3600,4,5083.4,874.609
3600,7,5629.36,667.773
3600,1,5453.13,649.288
3700,3,5087.2,778.785
3700,10,5089.75,772.158
3700,0,5143.79,887.379
3700,7,5157.11,801.86
3700,11,5308.22,841.243
3700,9,5273.43,788.288
3700,8,5532.77,717.671
3700,2,5654.83,746.282
3700,6,5411.2,781.26
3700,1,5572.48,759.625
3700,4,5782.59,703.801
3700,5,5666.59,794.258
3800,10,5209.22,758.802
3800,3,5210.79,750.519
3800,4,5210.13,777.858
3800,9,5186.37,771.481
3800,5,5453.92,780.216
3800,6,5495.88,771.631
3800,11,5502.61,770.029
3800,0,5507.35,735.932
3800,2,5769.13,724.855
3800,8,5856.8,538.14
3800,7,5895.23,691.177
3800,1,5939.81,760.763
3900,3,5109.13,902.408
3900,1,5150.75,910.061
3900,10,5192.88,950.579
3900,9,5173.8,1029.77
3900,6,5379.25,973.168
3900,11,5407.23,966.524
3900,4,5426.93,1013.38
3900,5,5378.23,1040
3900,0,5617.03,992.952
3900,7,5632.75,973.656
3900,2,5687.78,939.403
3900,8,5642.88,1091.79
4000,9,5868.17,844.555
4000,11,5928.1,887.287
4000,6,6007.46,850.609
4000,10,6120.97,883.213
4000,8,6194.41,891.206
4000,3,6019.5,865.264
4000,4,5955.82,841.594
4000,2,6156.18,860.633
4000,1,6217.83,893.227
4000,0,6070.84,802.391
4000,5,6216.68,779.713
4000,7,6297.13,888.802
4100,3,5767.32,876.75
4100,4,5781.67,890.645
4100,9,5842.45,941.85
4100,8,5951.41,1018.65
4100,0,6003.68,1111.77
4100,6,6047.11,1100.88
4100,5,6093.88,1092.92
4100,7,6348.26,1030.81
4100,11,6148.74,1104.88
4100,1,6405.85,1044
4100,2,6453.36,1023.82
4100,10,6536.72,946.549
4200,9,6244.94,953.549
