-1  145  15  15
 0.000000000  34  0  10  #
 0.000000000  51  5  1  #
 0.000000000  58  11  8  #
 0.000000000  64  14  5  #
 0.000000000  80  6  11  #
 0.000000000  28  6  8  #
 0.000000000  30  6  7  #
 0.000000000  50  4  0  #
 0.000000000  78  12  0  #
 0.000000000  84  7  8  #
 0.000000000  33  14  8  #
 0.000000000  44  11  10  #
 0.000000000  65  11  14  #
 0.000000000  73  10  8  #
 0.000000000  56  12  10  #
 0.000000000  61  1  10  #
 0.000000000  66  10  4  #
 0.000000000  75  11  4  #
 0.000000000  82  11  3  #
 0.000000000  83  2  4  #
 0.000000000  37  5  14  #
 0.000000000  52  10  7  #
 0.000000000  36  13  8  #
 0.000000000  57  13  5  #
 0.000000000  59  8  1  #
 0.000000000  77  2  0  #
 0.000000000  29  2  10  #
 0.000000000  31  9  11  #
 0.000000000  41  2  9  #
 0.000000000  42  5  4  #
 0.000000000  72  9  5  #
 0.000000000  32  4  1  #
 0.000000000  38  8  6  #
 0.000000000  62  13  3  #
 0.000000000  40  13  0  #
 0.000000000  48  8  7  #
 0.000000000  79  3  13  #
 0.000000000  54  12  5  #
 0.000000000  69  4  6  #
 0.000000000  47  2  8  #
 0.000000000  53  11  0  #
 0.000000000  85  11  9  #
 0.000000000  39  14  2  #
 0.000000000  45  6  4  #
 0.000000000  63  8  2  #
 0.000000000  68  10  10  #
 0.000000000  26  10  5  #
 0.000000000  55  5  12  #
 0.000000000  67  13  10  #
 0.000000000  70  5  6  #
 0.000000000  46  2  1  #
 0.000000000  60  8  13  #
 0.000000000  49  11  7  #
 0.000000000  71  11  2  #
 0.000000000  76  9  7  #
 0.000000000  27  12  11  #
 0.000000000  43  3  14  #
 0.000000000  81  8  5  #
 0.000000000  35  8  14  #
 0.000000000  74  7  4  #
 0.002318845  10  8  0  K
 0.023279752  10  8  14  k
 0.002342189  5  7  11  F
 0.027588121  5  6  11  f
 0.002296152  4  13  2  E
 0.028782700  4  13  3  e
 0.037335388  18  5  8  3
 0.002151902  1  9  1  B
 0.037512176  1  8  1  b
 0.050303940  15  9  1  0
 0.002132591  13  3  4  N
 0.051813525  13  2  4  n
 0.063468838  23  3  11  8
 0.002279279  12  6  0  M
 0.046692338  12  6  14  M
 0.082411672  12  6  13  M
 0.104100342  12  7  13  M
 0.131516285  12  8  13  m
 0.002264755  3  0  4  D
 0.025206911  3  14  4  D
 0.050189971  3  14  3  D
 0.066945504  3  0  3  D
 0.117334221  3  14  3  D
 0.157258073  3  14  2  d
