-1  25  15  15
 0.006490795  9  10  8  J
 0.030188096  9  10  9  J
 0.076951596  9  10  10  J
 0.110973751  9  10  9  J
 0.138241766  9  9  9  J
 0.170160627  9  9  10  J
 0.191318212  9  9  11  J
 0.205379865  9  9  12  J
 0.239825356  9  9  11  J
 0.274017325  9  9  12  J
 0.295428976  9  10  12  J
 0.318412971  9  10  13  J
 0.329253949  9  10  12  J
 0.370173861  9  11  12  J
 0.384889981  9  12  12  J
 0.395916319  9  12  13  J
 0.008126645  13  6  0  N
 0.034836537  13  6  14  N
 0.075845326  13  6  0  N
 0.105840959  13  7  0  N
 0.147365005  13  7  1  N
 0.170177933  13  7  0  N
 0.194677890  13  7  1  N
 0.209655726  13  7  0  N
 0.255553943  13  6  0  N
 0.418231379  13  6  0  n
 0.245696220  20  11  9  5
 0.446294011  20  15  15  5
 0.004480134  5  8  4  F
 0.042686937  5  8  3  F
 0.089302260  5  7  3  F
 0.116922748  5  8  3  F
 0.144185155  5  8  2  F
 0.163964838  5  8  1  F
 0.209680385  5  7  1  F
 0.255566896  5  7  0  F
 0.450329824  5  7  0  f
 0.003206320  3  1  9  D
 0.048695703  3  0  9  D
 0.083956404  3  14  9  D
 0.107432147  3  14  10  D
 0.146209449  3  14  9  D
 0.164195636  3  14  8  D
 0.187445237  3  13  8  D
 0.225475752  3  13  7  D
 0.244317680  3  12  7  D
 0.275472116  3  12  8  D
 0.287384148  3  12  9  D
 0.316093905  3  12  10  D
 0.342514246  3  13  10  D
 0.367312661  3  14  10  D
 0.398536880  3  13  10  D
 0.411677601  3  13  11  D
 0.429243686  3  13  12  D
 0.473752753  3  14  12  D
 0.484285993  3  14  11  D
 0.517031878  3  13  11  D
 0.002024313  1  0  9  B
 0.042943702  1  0  8  B
 0.058667433  1  14  8  B
 0.077267433  1  13  8  B
 0.119682424  1  14  8  B
 0.151690467  1  0  8  B
 0.187461076  1  14  8  B
 0.214277111  1  14  7  B
 0.247987386  1  14  8  B
 0.286652678  1  13  8  B
 0.331893520  1  12  8  B
 0.347947902  1  12  7  B
 0.383986754  1  12  6  B
 0.425572684  1  11  6  B
 0.438414100  1  11  7  B
 0.458630790  1  10  7  B
 0.484834468  1  10  8  B
 0.528457613  1  11  8  B
 0.548127715  1  10  8  B
 0.577000013  1  9  8  B
 0.620944883  1  9  7  B
 0.648532938  1  9  8  B
 0.668185568  1  10  8  B
 0.006056234  8  0  0  I
 0.040008428  8  0  1  I
 0.071099368  8  0  0  I
 0.088610809  8  1  0  I
 0.135268107  8  1  1  I
 0.182585813  8  0  1  I
 0.194688604  8  0  2  I
 0.241457033  8  0  1  I
 0.257815970  8  0  2  I
 0.273849250  8  1  2  I
 0.307956557  8  1  1  I
 0.334951140  8  1  2  I
 0.349327059  8  1  1  I
 0.397002075  8  1  0  I
 0.426775500  8  2  0  I
 0.459754637  8  2  1  I
 0.507614711  8  1  1  I
 0.535272122  8  2  1  I
 0.546846777  8  2  2  I
 0.568742496  8  3  2  I
 0.603125809  8  3  3  I
 0.650831499  8  3  2  I
 0.694128368  8  3  3  I
 0.740420500  8  4  3  I
 0.005609892  7  3  8  H
 0.054541499  7  3  7  H
 0.073079228  7  2  7  H
 0.094841783  7  1  7  H
 0.143449815  7  1  8  H
 0.154785835  7  1  7  H
 0.166947099  7  1  6  H
 0.178065379  7  0  6  H
 0.209734431  7  0  7  H
 0.245373177  7  0  6  H
 0.273493260  7  0  7  H
 0.321686419  7  1  7  H
 0.368971569  7  0  7  H
 0.381592085  7  0  8  H
 0.401746381  7  14  8  H
 0.434145847  7  0  8  H
 0.461537421  7  14  8  H
 0.494828012  7  13  8  H
 0.544554670  7  14  8  H
 0.567679162  7  14  7  H
 0.580731728  7  14  6  H
 0.600112087  7  14  7  H
 0.614435162  7  13  7  H
 0.628910618  7  13  6  H
 0.659968559  7  13  5  H
 0.682782826  7  14  5  H
 0.695647134  7  13  5  H
 0.708674015  7  12  5  H
 0.743314146  7  11  5  H
 0.779216653  7  12  5  H
 0.005118699  6  12  5  G
 0.033803158  6  13  5  G
 0.076902477  6  12  5  G
 0.088141963  6  12  6  G
 0.099402027  6  11  6  G
 0.141002416  6  10  6  G
 0.191999370  6  10  7  G
 0.230164849  6  9  7  G
 0.248845386  6  10  7  G
 0.299851161  6  9  7  G
 0.312003993  6  8  7  G
 0.322834581  6  8  8  G
 0.365856908  6  8  7  G
 0.381213257  6  7  7  G
 0.420326742  6  8  7  G
 0.468162498  6  9  7  G
 0.504591091  6  8  7  G
 0.536271677  6  8  8  G
 0.580441976  6  8  9  G
 0.614720855  6  8  8  G
 0.626623711  6  8  7  G
 0.640488432  6  7  7  G
 0.660922196  6  7  8  G
 0.681031661  6  7  7  G
 0.723759505  6  8  7  G
 0.762666287  6  8  6  G
 0.785562629  6  9  6  G
 0.810733471  6  9  5  G
 0.840325867  6  9  6  G
 0.007318518  11  7  10  L
 0.056183093  11  7  9  L
 0.094849338  11  7  10  L
 0.132494557  11  7  11  L
 0.147324329  11  8  11  L
 0.161236486  11  7  11  L
 0.191922650  11  8  11  L
 0.218748186  11  9  11  L
 0.239793605  11  9  10  L
 0.274013309  11  10  10  L
 0.303492786  11  10  9  L
 0.329411805  11  10  8  L
 0.348506461  11  10  9  L
 0.390566394  11  10  8  L
 0.418965954  11  10  7  L
 0.436087614  11  9  7  L
 0.468139335  11  9  6  L
 0.496024007  11  9  5  L
 0.540216707  11  9  4  L
 0.574221515  11  9  5  L
 0.603184616  11  9  6  L
 0.644002794  11  8  6  L
 0.684636207  11  9  6  L
 0.719934362  11  10  6  L
 0.747230593  11  10  7  L
 0.915494275  11  10  7  l
 0.008422612  14  10  3  O
 0.046842710  14  11  3  O
 0.057086291  14  11  4  O
 0.074123708  14  11  3  O
 0.095538854  14  12  3  O
 0.113377282  14  12  2  O
 0.145059226  14  12  1  O
 0.171393858  14  12  0  O
 0.190320771  14  11  0  O
