-1  25  15  15
 0.406811339  14  0  4  O
 0.430362997  14  14  4  O
 0.475296341  14  0  4  O
 0.516146686  14  0  3  O
 0.531182877  14  0  2  O
 0.558161665  14  14  2  O
 0.584588155  14  14  1  O
 0.605413626  14  14  0  O
 0.637666042  14  14  14  O
 0.678799689  14  13  14  O
 0.738725849  14  13  0  O
 0.753642355  14  13  14  O
 0.787001583  14  13  0  O
 0.830160154  14  13  14  O
 0.862779454  14  13  13  O
 0.897566433  14  13  14  O
 0.942470494  14  13  0  O
 0.968436212  14  14  0  O
 0.998551204  14  14  14  O
 1.018380447  14  14  0  O
 1.051329386  14  14  1  O
 1.110911981  14  14  0  O
 1.145946786  14  14  1  O
 1.176867140  14  14  0  O
 1.217897337  14  13  0  O
 1.277793504  14  12  0  O
 1.299315456  14  12  1  O
 1.355256970  14  12  0  O
 1.395496435  14  11  0  O
 1.427714912  14  10  0  O
 1.457956362  14  11  0  O
 1.459145931  23  15  15  8
 0.268587027  20  8  13  5
 0.902543700  20  8  12  5
 1.250420901  20  8  11  5
 1.462578629  20  9  11  5
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 1.209836575  15  7  13  0
 1.294584015  15  8  13  0
 1.314911076  15  8  12  0
 1.334789384  15  7  12  0
 1.490767882  15  6  12  0
 0.268587027  20  8  13  5
 0.902543700  20  8  12  5
 1.250420901  20  8  11  5
 1.462578629  20  9  11  5
 1.505264763  20  10  11  5
 1.663216657  18  15  15  3
 1.665585145  20  15  15  5
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 1.209836575  15  7  13  0
 1.294584015  15  8  13  0
 1.314911076  15  8  12  0
 1.334789384  15  7  12  0
 1.490767882  15  6  12  0
 1.672275231  15  6  13  0
 0.351264810  15  6  12  0
 0.418678350  15  6  13  0
 0.618929720  15  6  14  0
 0.765199466  15  7  14  0
 0.816840359  15  8  14  0
 0.936909162  15  8  13  0
 1.209836575  15  7  13  0
 1.294584015  15  8  13  0
 1.314911076  15  8  12  0
 1.334789384  15  7  12  0
 1.490767882  15  6  12  0
 1.672275231  15  6  13  0
 1.798058090  15  7  13  0
 1.868796560  22  15  15  7
 0.001644253  2  3  1  C
 0.053119214  2  4  1  C
 0.079885552  2  4  0  C
 0.107206012  2  3  0  C
 0.129745412  2  3  1  C
 0.165454319  2  4  1  C
 0.198503327  2  5  1  C
 0.214611934  2  5  2  C
 0.226836653  2  5  3  C
 0.268583376  2  6  3  C
 0.313964436  2  5  3  C
 0.362230273  2  5  2  C
 0.376308045  2  5  3  C
 0.421367121  2  6  3  C
 0.445264708  2  5  3  C
 0.464367148  2  5  4  C
 0.488817227  2  6  4  C
 0.548845770  2  6  5  C
 0.600659599  2  6  4  C
 0.615213614  2  6  3  C
 0.649363818  2  6  2  C
 0.694563757  2  6  1  C
 0.736359423  2  6  2  C
 0.765152901  2  7  2  C
 0.814486478  2  6  2  C
 0.850993859  2  7  2  C
 0.908052155  2  6  2  C
 0.952666985  2  6  3  C
 0.974990624  2  5  3  C
 1.020889272  2  5  2  C
 1.053782030  2  5  1  C
 1.077882109  2  4  1  C
 1.120326191  2  4  0  C
 1.180463781  2  3  0  C
 1.204389529  2  2  0  C
 1.260567276  2  2  1  C
 1.295853505  2  3  1  C
 1.316151082  2  3  0  C
 1.327223623  2  3  14  C
 1.360180567  2  3  0  C
 1.376238275  2  4  0  C
 1.424224838  2  4  14  C
 1.434458834  2  4  0  C
 1.449019263  2  5  0  C
 1.478568973  2  4  0  C
 1.521300993  2  5  0  C
 1.557428090  2  5  14  C
 1.585305299  2  6  14  C
 1.629159984  2  5  14  C
 1.680169792  2  5  0  C
 1.706385261  2  5  14  C
 1.747555859  2  4  14  C
 1.786433391  2  4  0  C
 1.819914547  2  4  1  C
 1.874398904  2  4  2  C
 0.001719318  9  2  7  J
 0.061781651  9  1  7  J
 0.102235086  9  0  7  J
 0.141509005  9  14  7  J
 0.157873137  9  14  6  J
 0.199815825  9  14  7  J
 0.248739142  9  13  7  J
 0.267212813  9  14  7  J
 0.319361849  9  0  7  J
