n;min;p
80000;112;0.1
80000;122;0.1
80000;126;0.1
80000;124;0.1
80000;97;0.1
80000;100;0.1
80000;132;0.1
80000;108;0.1
80000;102;0.1
80000;102;0.1
80000;103;0.1
80000;115;0.1
80000;97;0.1
80000;108;0.1
80000;100;0.1
80000;115;0.1
80000;111;0.1
80000;102;0.1
80000;112;0.1
80000;116;0.1
80000;104;0.1
80000;99;0.1
80000;103;0.1
80000;117;0.1
80000;104;0.1
80000;93;0.1
80000;117;0.1
80000;120;0.1
80000;111;0.1
80000;105;0.1
80000;102;0.1
80000;106;0.1
80000;104;0.1
80000;113;0.1
80000;95;0.1
80000;102;0.1
80000;115;0.1
80000;102;0.1
80000;110;0.1
80000;111;0.1
80000;106;0.1
80000;114;0.1
80000;141;0.1
80000;95;0.1
80000;118;0.1
80000;110;0.1
90000;116;0.1
90000;105;0.1
90000;154;0.1
90000;118;0.1
90000;126;0.1
90000;121;0.1
90000;117;0.1
90000;101;0.1
90000;112;0.1
90000;108;0.1
90000;105;0.1
90000;119;0.1
90000;122;0.1
90000;114;0.1
90000;103;0.1
90000;103;0.1
90000;119;0.1
90000;97;0.1
90000;112;0.1
90000;110;0.1
90000;103;0.1
90000;121;0.1
90000;134;0.1
90000;115;0.1
90000;135;0.1
90000;144;0.1
90000;105;0.1
90000;128;0.1
90000;100;0.1
90000;128;0.1
90000;133;0.1
90000;108;0.1
90000;121;0.1
90000;121;0.1
90000;99;0.1
90000;135;0.1
90000;112;0.1
90000;123;0.1
90000;123;0.1
90000;126;0.1
90000;124;0.1
90000;112;0.1
90000;122;0.1
90000;106;0.1
90000;128;0.1
90000;113;0.1
90000;124;0.1
90000;115;0.1
90000;104;0.1
90000;111;0.1
100000;111;0.1
100000;125;0.1
100000;134;0.1
100000;133;0.1
100000;104;0.1
100000;130;0.1
100000;101;0.1
100000;105;0.1
100000;110;0.1
100000;106;0.1
100000;103;0.1
100000;111;0.1
100000;106;0.1
100000;115;0.1
100000;124;0.1
100000;128;0.1
100000;122;0.1
100000;112;0.1
100000;115;0.1
100000;107;0.1
100000;126;0.1
100000;97;0.1
100000;122;0.1
100000;115;0.1
100000;138;0.1
100000;117;0.1
100000;114;0.1
100000;110;0.1
100000;118;0.1
100000;109;0.1
100000;118;0.1
100000;111;0.1
100000;114;0.1
100000;114;0.1
100000;109;0.1
100000;103;0.1
100000;119;0.1
100000;107;0.1
100000;110;0.1
100000;108;0.1
100000;120;0.1
100000;132;0.1
100000;114;0.1
100000;107;0.1
100000;115;0.1
100000;158;0.1
100000;131;0.1
100000;108;0.1
100000;103;0.1
100000;127;0.1
110000;141;0.1
110000;123;0.1
110000;106;0.1
110000;103;0.1
110000;140;0.1
110000;104;0.1
110000;117;0.1
110000;108;0.1
110000;110;0.1
110000;110;0.1
110000;107;0.1
110000;120;0.1
110000;165;0.1
110000;123;0.1
110000;141;0.1
110000;117;0.1
110000;110;0.1
110000;112;0.1
110000;119;0.1
110000;117;0.1
110000;125;0.1
110000;102;0.1
110000;116;0.1
110000;120;0.1
110000;109;0.1
110000;129;0.1
110000;118;0.1
110000;112;0.1
110000;95;0.1
110000;128;0.1
110000;96;0.1
110000;119;0.1
110000;112;0.1
110000;111;0.1
110000;120;0.1
110000;116;0.1
110000;133;0.1
110000;126;0.1
110000;123;0.1
110000;108;0.1
110000;101;0.1
110000;132;0.1
110000;110;0.1
110000;109;0.1
110000;128;0.1
110000;122;0.1
110000;110;0.1
110000;128;0.1
110000;112;0.1
110000;97;0.1
120000;101;0.1
120000;102;0.1
120000;109;0.1
120000;112;0.1
120000;118;0.1
120000;124;0.1
120000;105;0.1
120000;114;0.1
120000;133;0.1
120000;123;0.1
120000;128;0.1
120000;96;0.1
120000;119;0.1
120000;113;0.1
120000;110;0.1
120000;125;0.1
120000;124;0.1
120000;122;0.1
120000;108;0.1
120000;121;0.1
120000;114;0.1
120000;107;0.1
120000;132;0.1
120000;106;0.1
120000;135;0.1
120000;139;0.1
120000;131;0.1
120000;119;0.1
120000;129;0.1
120000;113;0.1
120000;109;0.1
120000;115;0.1
120000;112;0.1
120000;122;0.1
120000;104;0.1
120000;107;0.1
120000;128;0.1
120000;116;0.1
120000;124;0.1
120000;109;0.1
120000;109;0.1
120000;108;0.1
120000;104;0.1
120000;114;0.1
120000;129;0.1
120000;121;0.1
120000;108;0.1
120000;109;0.1
120000;119;0.1
120000;126;0.1
130000;112;0.1
130000;107;0.1
130000;116;0.1
130000;133;0.1
130000;137;0.1
130000;113;0.1
130000;115;0.1
130000;103;0.1
130000;114;0.1
130000;116;0.1
130000;135;0.1
130000;102;0.1
130000;120;0.1
130000;109;0.1
130000;106;0.1
130000;108;0.1
130000;119;0.1
130000;128;0.1
130000;99;0.1
130000;112;0.1
130000;119;0.1
130000;99;0.1
130000;112;0.1
130000;124;0.1
130000;124;0.1
130000;109;0.1
130000;124;0.1
130000;123;0.1
130000;131;0.1
130000;114;0.1
130000;134;0.1
130000;128;0.1
130000;117;0.1
130000;126;0.1
130000;109;0.1
130000;129;0.1
130000;135;0.1
130000;120;0.1
130000;114;0.1
130000;105;0.1
130000;142;0.1
130000;109;0.1
130000;99;0.1
130000;109;0.1
130000;106;0.1
130000;127;0.1
130000;105;0.1
130000;125;0.1
130000;117;0.1
130000;120;0.1
140000;109;0.1
140000;117;0.1
140000;114;0.1
140000;104;0.1
140000;103;0.1
140000;115;0.1
140000;116;0.1
140000;122;0.1
140000;141;0.1
140000;117;0.1
140000;109;0.1
140000;123;0.1
140000;112;0.1
140000;118;0.1
140000;172;0.1
140000;117;0.1
140000;101;0.1
140000;136;0.1
140000;123;0.1
140000;137;0.1
140000;135;0.1
140000;108;0.1
140000;114;0.1
140000;115;0.1
140000;110;0.1
140000;111;0.1
140000;124;0.1
140000;146;0.1
140000;117;0.1
140000;119;0.1
140000;123;0.1
140000;122;0.1
140000;124;0.1
140000;120;0.1
140000;111;0.1
140000;130;0.1
140000;116;0.1
140000;123;0.1
140000;139;0.1
140000;133;0.1
140000;123;0.1
140000;110;0.1
140000;103;0.1
140000;119;0.1
140000;111;0.1
140000;118;0.1
140000;123;0.1
140000;113;0.1
140000;126;0.1
140000;110;0.1
150000;134;0.1
150000;107;0.1
150000;112;0.1
150000;105;0.1
150000;115;0.1
150000;113;0.1
150000;113;0.1
150000;145;0.1
150000;123;0.1
150000;119;0.1
150000;125;0.1
150000;121;0.1
150000;115;0.1
150000;106;0.1
150000;122;0.1
150000;127;0.1
150000;136;0.1
150000;121;0.1
150000;121;0.1
150000;114;0.1
150000;133;0.1
150000;103;0.1
150000;119;0.1
150000;118;0.1
150000;105;0.1
150000;107;0.1
150000;113;0.1
150000;160;0.1
150000;122;0.1
150000;134;0.1
150000;100;0.1
150000;125;0.1
150000;134;0.1
150000;115;0.1
150000;128;0.1
150000;136;0.1
150000;121;0.1
150000;119;0.1
150000;120;0.1
150000;121;0.1
150000;98;0.1
150000;118;0.1
150000;114;0.1
150000;124;0.1
150000;121;0.1
150000;116;0.1
150000;132;0.1
150000;121;0.1
150000;124;0.1
150000;134;0.1
160000;139;0.1
160000;113;0.1
160000;111;0.1
160000;120;0.1
160000;104;0.1
160000;119;0.1
160000;118;0.1
160000;109;0.1
160000;139;0.1
160000;146;0.1
160000;115;0.1
160000;111;0.1
160000;135;0.1
160000;115;0.1
160000;110;0.1
160000;107;0.1
160000;121;0.1
160000;114;0.1
160000;110;0.1
160000;110;0.1
160000;133;0.1
160000;149;0.1
160000;114;0.1
160000;114;0.1
160000;152;0.1
160000;105;0.1
160000;116;0.1
160000;141;0.1
160000;103;0.1
160000;120;0.1
160000;118;0.1
160000;173;0.1
160000;126;0.1
160000;125;0.1
160000;119;0.1
